n_rows,n_cols,with_walls,seed,corridor_rows,k_neighbors,n_zones,nodes_A,edges_A,nodes_B,edges_B,M1_A,M1_B,M2,M3,M4_A,M4_B
6,4,False,1,3,3,24,37,42,73,121,1.0,1.0,1.0,0.8936,undefined,undefined
6,4,False,1,3,4,24,37,42,73,145,1.0,1.0,1.0,0.8519,undefined,undefined
6,4,False,2,3,2,24,37,42,73,97,1.0,1.0,1.0,0.8997,undefined,undefined
6,4,False,2,3,3,24,37,42,73,121,1.0,1.0,1.0,0.8936,undefined,undefined
6,4,False,2,3,4,24,37,42,73,145,1.0,1.0,1.0,0.8519,undefined,undefined
6,4,False,3,3,2,24,37,42,73,97,1.0,1.0,1.0,0.8997,undefined,undefined
6,4,False,3,3,3,24,37,42,73,121,1.0,1.0,1.0,0.8936,undefined,undefined
6,4,False,3,3,4,24,37,42,73,145,1.0,1.0,1.0,0.8519,undefined,undefined
6,4,True,1,3,2,24,37,26,73,49,0.3333,0.0417,0.7083,0.7772,0.4231,0.9796
6,4,True,1,3,3,24,37,26,73,49,0.3333,0.0417,0.7083,0.7772,0.4231,0.9796
6,4,True,1,3,4,24,37,26,73,49,0.3333,0.0417,0.7083,0.7772,0.4231,0.9796
6,4,True,2,3,2,24,37,26,73,49,0.3333,0.0417,0.7083,0.7772,0.4231,0.9796
6,4,True,2,3,3,24,37,26,73,49,0.3333,0.0417,0.7083,0.7772,0.4231,0.9796
6,4,True,2,3,4,24,37,26,73,49,0.3333,0.0417,0.7083,0.7772,0.4231,0.9796
6,4,True,3,3,2,24,37,26,73,49,0.3333,0.0417,0.7083,0.7772,0.4231,0.9796
6,4,True,3,3,3,24,37,26,73,49,0.3333,0.0417,0.7083,0.7772,0.4231,0.9796
6,4,True,3,3,4,24,37,26,73,49,0.3333,0.0417,0.7083,0.7772,0.4231,0.9796
6,6,False,1,3,2,36,55,64,109,145,1.0,1.0,1.0,0.9092,undefined,undefined
6,6,False,1,3,3,36,55,64,109,181,1.0,1.0,1.0,0.9057,undefined,undefined
6,6,False,1,3,4,36,55,64,109,217,1.0,1.0,1.0,0.8544,undefined,undefined
6,6,False,2,3,2,36,55,64,109,145,1.0,1.0,1.0,0.9092,undefined,undefined
6,6,False,2,3,3,36,55,64,109,181,1.0,1.0,1.0,0.9057,undefined,undefined
6,6,False,2,3,4,36,55,64,109,217,1.0,1.0,1.0,0.8544,undefined,undefined
6,6,False,3,3,2,36,55,64,109,145,1.0,1.0,1.0,0.9092,undefined,undefined
6,6,False,3,3,3,36,55,64,109,181,1.0,1.0,1.0,0.9057,undefined,undefined
6,6,False,3,3,4,36,55,64,109,217,1.0,1.0,1.0,0.8544,undefined,undefined
6,6,True,1,3,2,36,55,40,109,73,0.3333,0.0278,0.6944,0.7772,0.425,0.9863
6,6,True,1,3,3,36,55,40,109,73,0.3333,0.0278,0.6944,0.7772,0.425,0.9863
6,6,True,1,3,4,36,55,40,109,73,0.3333,0.0278,0.6944,0.7772,0.425,0.9863
6,6,True,2,3,2,36,55,40,109,73,0.3333,0.0278,0.6944,0.7772,0.425,0.9863
6,6,True,2,3,3,36,55,40,109,73,0.3333,0.0278,0.6944,0.7772,0.425,0.9863
6,6,True,2,3,4,36,55,40,109,73,0.3333,0.0278,0.6944,0.7772,0.425,0.9863
6,6,True,3,3,2,36,55,40,109,73,0.3333,0.0278,0.6944,0.7772,0.425,0.9863
6,6,True,3,3,3,36,55,40,109,73,0.3333,0.0278,0.6944,0.7772,0.425,0.9863
6,6,True,3,3,4,36,55,40,109,73,0.3333,0.0278,0.6944,0.7772,0.425,0.9863
